"impacto","circuito","servicio","motivo","solicita","numeroinstalacion","municipio","nombreresponsable","fecha_y_hora_esperada","inicio","fin","horas","estado","fecharegistro","barrio","nombrecontratista","tipoaviso"
Bajo,Pan de Azúcar,Agua,Vinculación,Unidad Vinculación y Desarrollos Urbanísticos Provisión Aguas,"0",Sabaneta,Jorge Andrés Lora Hoyos,2023-05-03 12:00:00.000,2023-05-03 09:00:00.000,2023-05-03 12:00:00.000,3.0,ABIERTA,2023-04-25,Rural Sabaneta,Contratista: Maria Victoria Gomez.,"0"
Bajo,San Antonio De Prado,Agua,Modernización,Unidad Vinculación y Desarrollos Urbanísticos Provisión Aguas,"0.1",Medellín,Juan David Muñoz Urrea,2023-02-06 18:00:00.000,2023-02-06 12:00:00.000,2023-02-06 18:00:00.000,6.0,ABIERTA,2023-02-01,San Antonio de Prado,Contratista ZM Ingenieros.,Volantes
Bajo,Porvenir A,Agua,Modernización,Unidad Mantenimiento Redes Secundarias Acueducto,"1",Rionegro,John Fredy Pulgarín Cardona,2023-02-22 16:00:00.000,2023-02-22 13:00:00.000,2023-02-22 16:00:00.000,3.0,ABIERTA,2023-02-13,La Colina,Contratista: Consorcio C&G Jeisson Ramirez.,Volantes
Bajo,América,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"1",Medellín,Oscar Restrepo Gallego,2023-08-15 02:00:00.000,2023-08-14 22:00:00.000,2023-08-15 02:00:00.000,4.0,ABIERTA,2023-08-02,"El Nogal, Los Almendros",Consorcio Redes 2020.,Volantes
Bajo,América,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"1",Medellín,Oscar Restrepo Gallego,2023-08-24 03:00:00.000,2023-08-23 22:00:00.000,2023-08-24 03:00:00.000,5.0,ABIERTA,2023-08-17,"El Nogal, Los Almendros",Consorcio Redes 2020.,Volantes
Bajo,Altavista Sur,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"10",Medellín,Juan David Muñoz Urrea,2023-04-27 17:00:00.000,2023-04-27 14:00:00.000,2023-04-27 17:00:00.000,3.0,ABIERTA,2023-04-13,La Gloria,Consorcio Redes 2020.,Volantes
Bajo,Altavista Sur,Agua,Modernización,Unidad Desarrollo de Intervenciones de Inversión,"10",Medellín,Juan David Muñoz Urrea,2023-07-25 18:00:00.000,2023-07-25 14:00:00.000,2023-07-25 18:00:00.000,4.0,ABIERTA,2023-07-17,La Gloria,Consorcio Redes 2020.,Volantes
Alto,Berlín,Agua,Lavado de tanque,"Unidad  Mantenimiento Captaciones, Instalaciones y Redes Primarias","10001",Medellín,Jorge Andrés Lora Hoyos,2023-03-14 03:00:00.000,2023-03-14 22:00:00.000,2023-03-15 03:00:00.000,5.0,ABIERTA,2023-02-21,San Isidro (Medellín); La Rosa; Berlín; Aranjuez; La Piñuela; Villa Guadalupe; Las Esmeraldas,Ingeniería Total Ltda.,IVR + Plan medios
Alto,Berlín,Agua,Preventivo,"Unidad  Mantenimiento Captaciones, Instalaciones y Redes Primarias","10001",Medellín,Jorge Andrés Lora Hoyos,2023-03-14 03:00:00.000,2023-03-14 22:00:00.000,2023-03-15 03:00:00.000,5.0,ABIERTA,2023-02-09,San Isidro (Medellín); La Rosa; Berlín; Aranjuez; La Piñuela; Villa Guadalupe; Las Esmeraldas,Ingeniería Total Ltda.,IVR + Plan medios
Alto,Berlín,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","10001",Medellín,Jorge Humberto Marin Posada,2023-09-06 03:00:00.000,2023-09-05 22:00:00.000,2023-09-06 03:00:00.000,5.0,ABIERTA,2023-08-28,Distrito Medellín:  San Isidro; La Rosa; Santa Cruz; Berlín; Aranjuez; La Piñuela; La Salle; Villa Guadalupe; Las Esmeraldas.,Contratista: Ingeniería Total Ltda.,IVR + Plan medios
Bajo,Centro,Agua,Modernización,Unidad Mantenimiento Redes Secundarias Acueducto,"1002",Rionegro,FABER ESTEBAN GIL ACOSTA,2023-01-31 17:00:00.000,2023-01-31 13:00:00.000,2023-01-31 17:00:00.000,4.0,ABIERTA,2023-01-24,"El hospital, Alto del Medio, la Henriada",Contratista CONSORCIO C&G.,IVR
Alto,San Cristóbal,Agua,Lavado de tanque,"Unidad  Mantenimiento Captaciones, Instalaciones y Redes Primarias","10088",Medellín,Jorge Andrés Lora Hoyos,2023-08-10 04:00:00.000,2023-08-09 21:00:00.000,2023-08-10 04:00:00.000,7.0,ABIERTA,2023-07-25,Distrito Medellín: Antonio Nariño; Juan XXIII - La Quiebra; El Socorro; La Gabriela (San Cristóbal); Eduardo Santos (San Cristóbal); Santa Margarita; Olaya Herrera.,Contratista: Ingeniería Total Ltda.,IVR + Plan medios
Bajo,América,Agua,Modernización,Unidad Desarrollo Intervenciones de Inversión,"104",Medellín,Jorge Andrés Lora Hoyos,2023-04-26 01:00:00.000,2023-04-26 20:00:00.000,2023-04-27 01:00:00.000,5.0,ABIERTA,2023-04-17,"Municipio de Medellín: La Pradera, San Javier",UT Redes AC SMA.,Volantes
Alto,El Tesoro,Agua,Lavado de tanque,"Unidad Mantenimiento Captaciones, Instalaciones y Redes Primarias","10469",Medellín,Juan David Muñoz Urrea,2022-12-05 04:00:00.000,2022-12-05 22:00:00.000,2022-12-06 04:00:00.000,6.0,ABIERTA,2022-11-25,"Altos del Poblado, Asomadera #2, Asomadera #3, El Tesoro, Las Lomas # 2, Los Balsos #1, Los Balsos # 2, Los Naranjos San Lucas.",Ingeniería Total Ltda.,IVR + Plan medios
Bajo,El Rodeo,Agua,Modernización,Dirección Proyectos Subestaciones y Lineas 1,"105",Itagüí,Jorge Andrés Lora Hoyos,2023-06-27 18:00:00.000,2023-06-27 13:00:00.000,2023-06-27 18:00:00.000,5.0,ABIERTA,2023-06-15,Municipio Itagui: Colinas del sur,Constructora Duran Ocampo SAS.,Volantes
Bajo,Campestre,Agua,Modernización,Unidad Desarrollo Intervenciones de Inversión,"1060",Itagüí,Jorge Andrés Lora Hoyos,2023-07-08 04:00:00.000,2023-07-07 16:00:00.000,2023-07-08 04:00:00.000,12.0,ABIERTA,2023-06-27,"Municipio de Itagüí: La Esmeralda, Simón Bolívar",Contratista: Consorcio GyC GAAL.,IVR
